"";"Periode";"Valeur";"trend"
"1";2009-06-01;48272255991;64293925633,1382
"2";2009-07-01;98208235141;64260417896,7099
"3";2009-08-01;49176057582;64226910160,2815
"4";2009-09-01;51762104293;64200749690,3237
"5";2009-10-01;97880567890;64174589220,3658
"6";2009-11-01;50345700769;64149092412,2353
"7";2009-12-01;64497375929;64123595604,1047
"8";2010-01-01;81957954036;64195306315,0975
"9";2010-02-01;41795209208;64267017026,0902
"10";2010-03-01;49937096608;64296903223,5916
"11";2010-04-01;87641577872;64326789421,0929
"12";2010-05-01;48512892145;64455442513,4443
"13";2010-06-01;47841879388;64584095605,7956
"14";2010-07-01;97292116462;64858194876,945
"15";2010-08-01;52545259835;65132294148,0944
"16";2010-09-01;51351022423;65445594642,8711
"17";2010-10-01;103405322962;65758895137,6478
"18";2010-11-01;50701367290;65663276542,2444
"19";2010-12-01;65471084689;65567657946,8409
"20";2011-01-01;86125454437;65278888844,6906
"21";2011-02-01;42917812959;64990119742,5404
"22";2011-03-01;47133001823;64588497022,7889
"23";2011-04-01;86448642231;64186874303,0375
"24";2011-05-01;50149233536;64029563407,5265
"25";2011-06-01;47154745838;63872252512,0155
"26";2011-07-01;94092229628;64029795761,3918
"27";2011-08-01;51931066127;64187339010,7681
"28";2011-09-01;53810820180;64115042842,9773
"29";2011-10-01;99147955554;64042746675,1865
"30";2011-11-01;49506933416;63638289083,5914
"31";2011-12-01;65770366950;63233831491,9964
"32";2012-01-01;78395378328;62659676164,7756
"33";2012-02-01;40199805663;62085520837,5548
"34";2012-03-01;43912668613;61581162223,1129
"35";2012-04-01;86278734721;61076803608,6709
"36";2012-05-01;44065131949;60992915882,5115
"37";2012-06-01;46374331991;60909028156,352
"38";2012-07-01;89784383251;60963259751,8397
"39";2012-08-01;50128351444;61017491347,3274
"40";2012-09-01;47781231613;61142761672,6892
"41";2012-10-01;99525809109;61268031998,0509
"42";2012-11-01;46858766089;61444363828,4111
"43";2012-12-01;54657931665;61620695658,7714
"44";2013-01-01;83286235094;61583438139,7478
"45";2013-02-01;42365490234;61546180620,7243
"46";2013-03-01;44245953470;61522311247,469
"47";2013-04-01;86409176003;61498441874,2137
"48";2013-05-01;46042384192;61233630179,6037
"49";2013-06-01;44042721967;60968818484,9938
"50";2013-07-01;94123516048;60639024045,8776
"51";2013-08-01;45365120778;60309229606,7615
"52";2013-09-01;50644853707;60171504277,1843
"53";2013-10-01;92248391783;60033778947,6072
"54";2013-11-01;45903079047;60085036092,3812
"55";2013-12-01;57227614440;60136293237,1552
"56";2014-01-01;78895241207;60343978685,2773
"57";2014-02-01;40742713982;60551664133,3994
"58";2014-03-01;44889079834;60860907089,3321
"59";2014-04-01;84411164010;61170150045,2648
"60";2014-05-01;46368148942;61539039581,599
"61";2014-06-01;46223680160;61907929117,9332
"62";2014-07-01;92594742066;62301527527,8297
"63";2014-08-01;49462484852;62695125937,7261
"64";2014-09-01;50353138926;63001113569,6273
"65";2014-10-01;104497208505;63307101201,5285
"66";2014-11-01;46472464210;63508737731,4044
"67";2014-12-01;60374251347;63710374261,2803
"68";2015-01-01;83360585854;63632190397,0476
"69";2015-02-01;43316368946;63554006532,8148
"70";2015-03-01;46122383610;63524036300,3194
"71";2015-04-01;88662427720;63494066067,8241
"72";2015-05-01;47000362156;63432896437,4455
"73";2015-06-01;48809720783;63371726807,0669
"74";2015-07-01;93903310325;63445704455,3999
"75";2015-08-01;50597286040;63519682103,7328
"76";2015-09-01;50857250329;63615824404,536
"77";2015-10-01;99049124228;63711966705,3392
"78";2015-11-01;51284458828;63909421419,8005
"79";2015-12-01;61147424877;64106876134,2618
"80";2016-01-01;81610900114;64261928403,3577
"81";2016-02-01;44850351533;64416980672,4536
"82";2016-03-01;47805938036;64575739252,8076
"83";2016-04-01;89577775235;64734497833,1616
"84";2016-05-01;49376420799;65007505532,1396
"85";2016-06-01;48476508188;65280513231,1177
"86";2016-07-01;96283373202;65408042220,6186
"87";2016-08-01;54348565048;65535571210,1196
"88";2016-09-01;54393895891;65751751259,3693
"89";2016-10-01;101955201887;65967931308,619
"90";2016-11-01;48850366536;66408406900,4762
"91";2016-12-01;65098788961;66848882492,3333
"92";2017-01-01;86063839561;67569098528,6542
"93";2017-02-01;44245665025;68289314564,9752
"94";2017-03-01;52712110615;68975530148,8157
"95";2017-04-01;99636332472;69661745732,6563
"96";2017-05-01;54704866871;69995107118,8658
"97";2017-06-01;54695869431;70328468505,0753
"98";2017-07-01;101273541119;70175928100,8627
"99";2017-08-01;58659674892;70023387696,6501
"100";2017-09-01;54782436676;69816319355,5822
"101";2017-10-01;107190226100;69609251014,5143
"102";2017-11-01;53339737534;69612801079,3842
"103";2017-12-01;66507322003;69616351144,254
"104";2018-01-01;91177626483;69817019021,9138
"105";2018-02-01;46454173736;70017686899,5736
"106";2018-03-01;53119257517;70468160287,4663
"107";2018-04-01;97606339278;70918633675,3591
"108";2018-05-01;54600580625;71366124618,7961
"109";2018-06-01;53711132355;71813615562,2331
"110";2018-07-01;107383007584;72232896645,2994
"111";2018-08-01;61073714273;72652177728,3658
"112";2018-09-01;57198549003;72882682075,0525
"113";2018-10-01;112164511211;73113186421,7392
"114";2018-11-01;56771713372;73041272411,6376
"115";2018-12-01;72795926894;72969358401,536
"116";2019-01-01;92888210993;73039653561,6531
"117";2019-02-01;49065752659;73109948721,7701
"118";2019-03-01;53425673133;73121089334,6203
"119";2019-04-01;102950079076;73132229947,4705
"120";2019-05-01;56837894153;73164887480,7719
"121";2019-06-01;56701312660;73197545014,0733
